session_id,user_id,start_ts,device,channel,campaign_id,is_new_user,variant,has_product_view,has_add_to_cart,has_begin_checkout,has_payment_attempt,has_purchase,session_duration_sec,time_to_cart_sec,time_to_checkout_sec,time_to_purchase_sec,time_to_payment_sec,net_amount,gross_amount,discount_amount
s0000119,u000774,2025-11-24 18:44:35,mobile,organic,c039,1,not-eligible,0,0,0,0,0,69.0,,,,,0.0,0.0,0.0
s0000120,u002024,2025-12-17 02:31:13,web,paid_social,c012,1,b,0,0,0,0,0,88.0,,,,,0.0,0.0,0.0
s0000121,u000240,2025-10-26 10:24:53,web,referral,c029,0,not-eligible,1,0,0,0,0,44.0,,,,,0.0,0.0,0.0
s0000122,u000049,2026-01-16 11:09:21,web,search,c022,0,not-eligible,0,0,0,0,0,37.0,,,,,0.0,0.0,0.0
s0000123,u002028,2025-11-06 03:27:18,mobile,referral,c018,1,not-eligible,1,1,0,0,0,237.0,237.0,,,,0.0,0.0,0.0
s0000124,u000217,2025-10-23 20:11:15,web,search,c026,1,a,0,0,0,0,0,79.0,,,,,0.0,0.0,0.0
s0000125,u000019,2025-10-21 22:04:25,web,organic,c020,1,b,0,0,0,0,0,111.0,,,,,0.0,0.0,0.0
s0000126,guest,2025-11-26 09:36:48,mobile,email,c029,0,not-eligible,0,0,0,0,0,93.0,,,,,0.0,0.0,0.0
s0000127,u000698,2026-01-09 00:33:48,web,organic,c039,0,b,1,0,0,0,0,188.0,,,,,0.0,0.0,0.0
s0000128,u001067,2026-01-03 05:15:44,web,organic,c009,1,a,0,0,0,0,0,81.0,,,,,0.0,0.0,0.0
s0000129,u000899,2026-01-11 12:35:42,web,paid_social,c008,0,b,1,1,1,1,1,240.0,87.0,142.0,240.0,187.0,4367.9,4714.45,346.55
s0000130,guest,2025-12-08 11:32:45,mobile,organic,c025,0,not-eligible,0,0,0,0,0,37.0,,,,,0.0,0.0,0.0
s0000131,u001059,2025-11-30 19:52:04,web,email,c039,0,b,1,0,0,0,0,88.0,,,,,0.0,0.0,0.0
s0000132,u000572,2025-11-25 04:02:09,web,search,c034,1,b,0,0,0,0,0,22.0,,,,,0.0,0.0,0.0
s0000133,u000495,2025-10-25 14:50:21,unknown,organic,c017,1,not-eligible,0,0,0,0,0,102.0,,,,,0.0,0.0,0.0
s0000134,u000495,2026-01-11 07:08:31,web,search,c033,1,b,0,0,0,0,0,51.0,,,,,0.0,0.0,0.0
s0000135,guest,2025-12-05 02:18:59,web,organic,c037,0,not-eligible,1,1,0,0,0,170.0,170.0,,,,0.0,0.0,0.0
s0000136,guest,2025-12-01 09:31:18,mobile,paid_social,c012,0,not-eligible,0,0,0,0,0,109.0,,,,,0.0,0.0,0.0
s0000137,u001207,2025-12-06 19:20:16,web,organic,c005,0,b,1,1,0,0,0,126.0,126.0,,,,0.0,0.0,0.0
s0000138,guest,2025-12-31 21:56:59,web,email,c039,0,not-eligible,1,0,0,0,0,101.0,,,,,0.0,0.0,0.0
s0000139,u001011,2025-11-10 15:26:01,mobile,organic,c007,1,not-eligible,1,0,0,0,0,50.0,,,,,0.0,0.0,0.0
s0000140,u001626,2025-12-24 07:57:41,mobile,organic,c001,0,not-eligible,0,0,0,0,0,33.0,,,,,0.0,0.0,0.0
s0000141,u000003,2025-12-24 09:50:19,web,paid_social,c013,0,a,1,1,0,0,0,183.0,183.0,,,,0.0,0.0,0.0
s0000142,u000661,2026-01-05 21:36:36,mobile,search,c032,1,not-eligible,1,0,0,0,0,197.0,,,,,0.0,0.0,0.0
s0000143,u002115,2025-10-22 05:19:57,mobile,search,c030,1,not-eligible,1,0,0,0,0,107.0,,,,,0.0,0.0,0.0
s0000144,u000940,2025-11-05 18:37:49,mobile,search,c013,1,not-eligible,1,1,1,1,0,343.0,233.0,248.0,,343.0,0.0,0.0,0.0
s0000145,guest,2025-12-02 20:02:14,mobile,organic,c028,0,not-eligible,0,0,0,0,0,82.0,,,,,0.0,0.0,0.0
s0000146,u001160,2026-01-05 23:44:36,mobile,search,c038,1,not-eligible,1,0,0,0,0,187.0,,,,,0.0,0.0,0.0
s0000147,u000904,2026-01-16 07:13:42,web,referral,c001,0,a,0,0,0,0,0,8.0,,,,,0.0,0.0,0.0
s0000148,u000465,2025-12-13 23:29:32,web,organic,c035,0,a,0,0,0,0,0,41.0,,,,,0.0,0.0,0.0
s0000149,guest,2025-11-09 12:47:07,web,paid_social,c025,0,not-eligible,1,1,0,0,0,109.0,109.0,,,,0.0,0.0,0.0
s0000150,u001945,2025-11-07 01:16:44,web,organic,c036,1,b,1,0,0,0,0,63.0,,,,,0.0,0.0,0.0
s0000151,u001789,2025-12-17 23:46:30,mobile,email,c002,1,not-eligible,1,0,0,0,0,54.0,,,,,0.0,0.0,0.0
s0000152,guest,2025-11-09 08:19:31,web,organic,c011,0,not-eligible,1,0,0,0,0,171.0,,,,,0.0,0.0,0.0
s0000153,u000039,2025-12-10 05:14:41,web,organic,c016,0,a,0,0,0,0,0,98.0,,,,,0.0,0.0,0.0
s0000154,guest,2026-01-04 13:46:11,web,search,c032,0,not-eligible,1,1,1,1,1,447.0,235.0,333.0,447.0,341.0,6504.65,7305.27,800.62
s0000155,u001042,2025-11-25 12:35:11,mobile,paid_social,c028,1,not-eligible,1,0,0,0,0,90.0,,,,,0.0,0.0,0.0
s0000156,guest,2025-11-24 12:04:33,mobile,organic,c014,0,not-eligible,1,1,0,0,0,162.0,162.0,,,,0.0,0.0,0.0
s0000157,u001931,2025-10-24 16:38:21,web,email,c010,0,a,1,1,0,0,0,220.0,220.0,,,,0.0,0.0,0.0
s0000158,u000952,2025-11-13 07:23:55,mobile,organic,c018,1,not-eligible,1,0,0,0,0,152.0,,,,,0.0,0.0,0.0
s0000159,guest,2025-12-23 06:40:10,web,referral,c007,0,not-eligible,1,0,0,0,0,42.0,,,,,0.0,0.0,0.0
s0000160,u000522,2025-11-22 21:01:16,mobile,referral,c037,0,not-eligible,1,1,0,0,0,188.0,188.0,,,,0.0,0.0,0.0
s0000161,guest,2025-11-04 16:30:06,mobile,email,c034,0,not-eligible,0,0,0,0,0,54.0,,,,,0.0,0.0,0.0
s0000162,u001199,2025-10-30 23:02:04,web,paid_social,c029,0,b,0,0,0,0,0,106.0,,,,,0.0,0.0,0.0
s0000163,guest,2025-10-29 23:53:29,mobile,paid_social,c020,0,not-eligible,0,0,0,0,0,84.0,,,,,0.0,0.0,0.0
s0000164,u001305,2025-12-19 18:18:15,web,email,c026,0,b,0,0,0,0,0,51.0,,,,,0.0,0.0,0.0
s0000165,u000486,2025-12-15 13:50:18,web,organic,c011,1,a,1,1,1,1,1,507.0,296.0,337.0,507.0,401.0,7418.17,7847.5,429.33
s0000166,u000924,2025-12-07 02:34:53,web,email,c006,1,b,0,0,0,0,0,10.0,,,,,0.0,0.0,0.0
s0000167,u002094,2025-12-05 11:16:52,web,search,c010,0,b,1,0,0,0,0,115.0,,,,,0.0,0.0,0.0
s0000168,u000320,2025-11-04 05:21:06,mobile,email,c022,1,not-eligible,1,0,0,0,0,123.0,,,,,0.0,0.0,0.0
s0000169,u002093,2025-12-05 11:52:52,mobile,search,c039,1,not-eligible,1,0,0,0,0,114.0,,,,,0.0,0.0,0.0
s0000170,u000601,2025-10-26 20:02:30,mobile,paid_social,c005,1,not-eligible,1,1,1,1,1,289.0,171.0,179.0,289.0,195.0,4922.12,5515.6,593.48
s0000171,u000651,2026-01-12 18:25:49,mobile,search,c013,0,not-eligible,1,0,0,0,0,124.0,,,,,0.0,0.0,0.0
s0000172,u000032,2025-10-26 15:54:56,web,search,c004,0,b,1,0,0,0,0,125.0,,,,,0.0,0.0,0.0
s0000173,u001461,2025-11-28 13:24:04,web,search,c018,1,a,1,0,0,0,0,112.0,,,,,0.0,0.0,0.0
s0000174,u000703,2025-10-21 11:48:34,mobile,paid_social,c038,1,not-eligible,0,0,0,0,0,85.0,,,,,0.0,0.0,0.0
s0000175,u001011,2025-12-31 04:39:39,web,organic,c003,0,b,0,0,0,0,0,9.0,,,,,0.0,0.0,0.0
s0000176,u001278,2025-11-05 09:30:13,mobile,referral,c024,0,not-eligible,1,0,0,0,0,40.0,,,,,0.0,0.0,0.0
s0000177,guest,2026-01-12 16:23:41,web,email,c007,0,not-eligible,1,0,0,0,0,134.0,,,,,0.0,0.0,0.0
s0000178,guest,2025-10-25 09:34:05,web,email,c001,0,not-eligible,1,0,0,0,0,66.0,,,,,0.0,0.0,0.0
s0000179,u001223,2026-01-03 07:28:36,web,referral,c022,0,b,0,0,0,0,0,8.0,,,,,0.0,0.0,0.0
s0000180,u000392,2025-12-19 12:54:49,web,search,c019,0,not-eligible,1,0,0,0,0,121.0,,,,,0.0,0.0,0.0
s0000181,u001548,2025-11-12 22:00:19,web,email,c037,0,a,0,0,0,0,0,44.0,,,,,0.0,0.0,0.0
s0000182,u000123,2025-11-08 15:48:09,web,search,c012,1,b,1,0,0,0,0,117.0,,,,,0.0,0.0,0.0
s0000183,u001856,2025-11-22 15:09:37,web,organic,c026,1,b,1,1,1,1,0,302.0,191.0,281.0,,302.0,0.0,0.0,0.0
s0000184,u000652,2026-01-03 23:55:34,mobile,organic,c007,0,not-eligible,0,0,0,0,0,61.0,,,,,0.0,0.0,0.0
s0000185,u001589,2026-01-07 00:24:08,web,organic,c024,0,a,0,0,0,0,0,77.0,,,,,0.0,0.0,0.0
s0000186,u000345,2025-11-06 05:11:33,web,organic,c033,1,not-eligible,0,0,0,0,0,57.0,,,,,0.0,0.0,0.0
s0000187,u000895,2025-11-22 06:01:26,web,search,c016,0,b,0,0,0,0,0,33.0,,,,,0.0,0.0,0.0
s0000188,u001531,2025-11-11 19:33:27,web,referral,c007,0,not-eligible,1,1,1,1,0,438.0,282.0,368.0,,438.0,0.0,0.0,0.0
s0000189,u001367,2025-11-01 11:29:04,web,organic,c021,0,a,1,0,0,0,0,147.0,,,,,0.0,0.0,0.0
s0000190,u000013,2025-12-18 14:54:24,web,referral,c007,0,b,0,0,0,0,0,96.0,,,,,0.0,0.0,0.0
s0000191,guest,2025-11-21 13:39:27,web,email,c026,0,not-eligible,1,0,0,0,0,120.0,,,,,0.0,0.0,0.0
s0000192,u002158,2025-11-10 17:24:20,mobile,email,c010,1,not-eligible,1,0,0,0,0,212.0,,,,,0.0,0.0,0.0
s0000193,guest,2026-01-07 09:07:52,web,email,c027,0,not-eligible,1,1,0,0,0,186.0,186.0,,,,0.0,0.0,0.0
s0000194,u001883,2025-12-27 18:56:34,web,referral,c029,0,a,1,1,1,1,1,405.0,228.0,341.0,405.0,360.0,5242.21,5325.84,83.63
s0000195,u000160,2025-12-30 01:54:00,mobile,organic,c040,0,not-eligible,1,1,0,0,0,195.0,195.0,,,,0.0,0.0,0.0
s0000196,u001080,2025-10-24 23:14:21,web,search,c008,1,a,1,0,0,0,0,119.0,,,,,0.0,0.0,0.0
s0000197,u001268,2026-01-11 19:15:28,web,search,c038,0,b,1,0,0,0,0,96.0,,,,,0.0,0.0,0.0
s0000198,u002027,2025-12-12 04:00:39,web,organic,c013,0,b,1,0,0,0,0,160.0,,,,,0.0,0.0,0.0
s0000199,guest,2025-12-05 18:47:24,mobile,search,c007,0,not-eligible,1,1,1,1,1,275.0,156.0,211.0,275.0,229.0,1098.6,1175.83,150.72
s0000200,u001382,2025-10-22 09:26:25,mobile,search,c037,0,not-eligible,1,1,0,0,0,127.0,127.0,,,,0.0,0.0,0.0
